key;day_full;day;month_full;month_nr;month_short;month_name;Semester_full;Semester;year
322;18/11/2010;18;nov/10;11;NOV;November;2010-S2;2;2010
323;19/11/2010;19;nov/10;11;NOV;November;2010-S2;2;2010
324;20/11/2010;20;nov/10;11;NOV;November;2010-S2;2;2010
325;21/11/2010;21;nov/10;11;NOV;November;2010-S2;2;2010
326;22/11/2010;22;nov/10;11;NOV;November;2010-S2;2;2010
327;23/11/2010;23;nov/10;11;NOV;November;2010-S2;2;2010
328;24/11/2010;24;nov/10;11;NOV;November;2010-S2;2;2010
329;25/11/2010;25;nov/10;11;NOV;November;2010-S2;2;2010
330;26/11/2010;26;nov/10;11;NOV;November;2010-S2;2;2010
331;27/11/2010;27;nov/10;11;NOV;November;2010-S2;2;2010
332;28/11/2010;28;nov/10;11;NOV;November;2010-S2;2;2010
333;29/11/2010;29;nov/10;11;NOV;November;2010-S2;2;2010
334;30/11/2010;30;nov/10;11;NOV;November;2010-S2;2;2010
335;01/12/2010;1;dez/10;12;DEC;December;2010-S2;2;2010
336;02/12/2010;2;dez/10;12;DEC;December;2010-S2;2;2010
337;03/12/2010;3;dez/10;12;DEC;December;2010-S2;2;2010
338;04/12/2010;4;dez/10;12;DEC;December;2010-S2;2;2010
339;05/12/2010;5;dez/10;12;DEC;December;2010-S2;2;2010
340;06/12/2010;6;dez/10;12;DEC;December;2010-S2;2;2010
341;07/12/2010;7;dez/10;12;DEC;December;2010-S2;2;2010
342;08/12/2010;8;dez/10;12;DEC;December;2010-S2;2;2010
343;09/12/2010;9;dez/10;12;DEC;December;2010-S2;2;2010
344;10/12/2010;10;dez/10;12;DEC;December;2010-S2;2;2010
345;11/12/2010;11;dez/10;12;DEC;December;2010-S2;2;2010
346;12/12/2010;12;dez/10;12;DEC;December;2010-S2;2;2010
347;13/12/2010;13;dez/10;12;DEC;December;2010-S2;2;2010
348;14/12/2010;14;dez/10;12;DEC;December;2010-S2;2;2010
349;15/12/2010;15;dez/10;12;DEC;December;2010-S2;2;2010
350;16/12/2010;16;dez/10;12;DEC;December;2010-S2;2;2010
351;17/12/2010;17;dez/10;12;DEC;December;2010-S2;2;2010
352;18/12/2010;18;dez/10;12;DEC;December;2010-S2;2;2010
353;19/12/2010;19;dez/10;12;DEC;December;2010-S2;2;2010
354;20/12/2010;20;dez/10;12;DEC;December;2010-S2;2;2010
355;21/12/2010;21;dez/10;12;DEC;December;2010-S2;2;2010
356;22/12/2010;22;dez/10;12;DEC;December;2010-S2;2;2010
357;23/12/2010;23;dez/10;12;DEC;December;2010-S2;2;2010
358;24/12/2010;24;dez/10;12;DEC;December;2010-S2;2;2010
359;25/12/2010;25;dez/10;12;DEC;December;2010-S2;2;2010
360;26/12/2010;26;dez/10;12;DEC;December;2010-S2;2;2010
361;27/12/2010;27;dez/10;12;DEC;December;2010-S2;2;2010
362;28/12/2010;28;dez/10;12;DEC;December;2010-S2;2;2010
363;29/12/2010;29;dez/10;12;DEC;December;2010-S2;2;2010
364;30/12/2010;30;dez/10;12;DEC;December;2010-S2;2;2010
365;31/12/2010;31;dez/10;12;DEC;December;2010-S2;2;2010
366;01/01/2011;1;jan/11;1;JAN;January;2011-S1;1;2011
367;02/01/2011;2;jan/11;1;JAN;January;2011-S1;1;2011
368;03/01/2011;3;jan/11;1;JAN;January;2011-S1;1;2011
369;04/01/2011;4;jan/11;1;JAN;January;2011-S1;1;2011
370;05/01/2011;5;jan/11;1;JAN;January;2011-S1;1;2011
371;06/01/2011;6;jan/11;1;JAN;January;2011-S1;1;2011
372;07/01/2011;7;jan/11;1;JAN;January;2011-S1;1;2011
373;08/01/2011;8;jan/11;1;JAN;January;2011-S1;1;2011
374;09/01/2011;9;jan/11;1;JAN;January;2011-S1;1;2011
375;10/01/2011;10;jan/11;1;JAN;January;2011-S1;1;2011
376;11/01/2011;11;jan/11;1;JAN;January;2011-S1;1;2011
377;12/01/2011;12;jan/11;1;JAN;January;2011-S1;1;2011
378;13/01/2011;13;jan/11;1;JAN;January;2011-S1;1;2011
379;14/01/2011;14;jan/11;1;JAN;January;2011-S1;1;2011
380;15/01/2011;15;jan/11;1;JAN;January;2011-S1;1;2011
381;16/01/2011;16;jan/11;1;JAN;January;2011-S1;1;2011
382;17/01/2011;17;jan/11;1;JAN;January;2011-S1;1;2011
383;18/01/2011;18;jan/11;1;JAN;January;2011-S1;1;2011
384;19/01/2011;19;jan/11;1;JAN;January;2011-S1;1;2011
385;20/01/2011;20;jan/11;1;JAN;January;2011-S1;1;2011
386;21/01/2011;21;jan/11;1;JAN;January;2011-S1;1;2011
387;22/01/2011;22;jan/11;1;JAN;January;2011-S1;1;2011
388;23/01/2011;23;jan/11;1;JAN;January;2011-S1;1;2011
389;24/01/2011;24;jan/11;1;JAN;January;2011-S1;1;2011
390;25/01/2011;25;jan/11;1;JAN;January;2011-S1;1;2011
391;26/01/2011;26;jan/11;1;JAN;January;2011-S1;1;2011
392;27/01/2011;27;jan/11;1;JAN;January;2011-S1;1;2011
393;28/01/2011;28;jan/11;1;JAN;January;2011-S1;1;2011
394;29/01/2011;29;jan/11;1;JAN;January;2011-S1;1;2011
395;30/01/2011;30;jan/11;1;JAN;January;2011-S1;1;2011
396;31/01/2011;31;jan/11;1;JAN;January;2011-S1;1;2011
